ratio,ct1,ct2,R_mean,NR_mean,fold_change,mwu_p,welch_p,min_p,mwu_fdr,welch_fdr,min_fdr
Endothelial/Myeloid,Endothelial,Myeloid,1.0719699783253738,1.235650691618588,0.8675348021868482,0.1142857142857142,0.0403338730812052,0.0403338730812052,0.7428571428571427,0.7529602472984328,0.7428571428571427
Acinar/Low_Confidence,Acinar,Low_Confidence,0.3801665970220887,0.1339608362140072,2.8378935796933886,0.0571428571428571,0.2255719361271552,0.0571428571428571,0.7428571428571427,0.7529602472984328,0.7428571428571427
Acinar/Macrophage,Acinar,Macrophage,0.7950428071952602,0.3003296516219603,2.6472338075896,0.0571428571428571,0.2485071907895061,0.0571428571428571,0.7428571428571427,0.7529602472984328,0.7428571428571427
Low_Confidence/NK_cells,Low_Confidence,NK_cells,1.986459166181972,4.119526490745845,0.4822057026807275,0.0571428571428571,0.1964008522499991,0.0571428571428571,0.7428571428571427,0.7529602472984328,0.7428571428571427
NK_cells/T_cells,NK_cells,T_cells,1.0834227960582028,0.7637375825965736,1.418579916382739,0.0571428571428571,0.1769244015579379,0.0571428571428571,0.7428571428571427,0.7529602472984328,0.7428571428571427
Acinar/CAF_iCAF,Acinar,CAF_iCAF,0.9194109456315658,0.3695400847277164,2.4879870510096462,0.0571428571428571,0.320316580274546,0.0571428571428571,0.7428571428571427,0.7529602472984328,0.7428571428571427
Low_Confidence/T_cells,Low_Confidence,T_cells,2.1559385948137977,2.823180087065642,0.7636560645533024,0.1142857142857142,0.072033380177201,0.072033380177201,0.7428571428571427,0.7529602472984328,0.7428571428571427
Acinar/Endothelial,Acinar,Endothelial,0.9563871534151596,0.3299417501958348,2.8986545438626736,0.1142857142857142,0.2597177144465866,0.1142857142857142,0.7428571428571427,0.7529602472984328,0.7428571428571427
Acinar/Endocrine,Acinar,Endocrine,0.8366548796578998,0.4285457617574184,1.952311641647957,0.1142857142857142,0.116856214551159,0.1142857142857142,0.7428571428571427,0.7529602472984328,0.7428571428571427
Acinar/Ductal_Epithelial,Acinar,Ductal_Epithelial,0.5235760492680489,0.1273424971419437,4.111557893233702,0.1142857142857142,0.3116103039628385,0.1142857142857142,0.7428571428571427,0.7529602472984328,0.7428571428571427
NK_cells/CAF_iCAF,NK_cells,CAF_iCAF,1.2369621201622156,0.8227599712778043,1.5034301173416666,0.1142857142857142,0.193211084507631,0.1142857142857142,0.7428571428571427,0.7529602472984328,0.7428571428571427
Low_Confidence/B_cells,Low_Confidence,B_cells,2.397971645507749,5.677304124688264,0.4223785784312585,0.1142857142857142,0.2948796306964769,0.1142857142857142,0.7428571428571427,0.7529602472984328,0.7428571428571427
Acinar/Myeloid,Acinar,Myeloid,1.0430670494839591,0.408769310668966,2.551725440877501,0.1142857142857142,0.2780619945535366,0.1142857142857142,0.7428571428571427,0.7529602472984328,0.7428571428571427
Acinar/Stellate_PSC,Acinar,Stellate_PSC,1.452430927544072,0.681666110800757,2.130707254667381,0.2285714285714285,0.1306248030024732,0.1306248030024732,0.7428571428571427,0.7529602472984328,0.7428571428571427
NK_cells/Endothelial,NK_cells,Endothelial,1.297877027165363,0.7728975798139928,1.6792354654257204,0.2285714285714285,0.1815837145821743,0.1815837145821743,0.7428571428571427,0.7529602472984328,0.7428571428571427
Ductal_Epithelial/T_cells,Ductal_Epithelial,T_cells,1.6142501029930496,2.563151381640865,0.629791168229653,0.2285714285714285,0.1932871331037035,0.1932871331037035,0.7428571428571427,0.7529602472984328,0.7428571428571427
Low_Confidence/CAF_iCAF,Low_Confidence,CAF_iCAF,2.4476713375977885,2.9574889247904594,0.8276180908340031,0.2285714285714285,0.206676738816525,0.206676738816525,0.7428571428571427,0.7529602472984328,0.7428571428571427
Ductal_Epithelial/NK_cells,Ductal_Epithelial,NK_cells,1.4882154688268203,3.904141323965597,0.381188933835822,0.2285714285714285,0.2076897988321336,0.2076897988321336,0.7428571428571427,0.7529602472984328,0.7428571428571427
Ductal_Epithelial/Myeloid,Ductal_Epithelial,Myeloid,1.986174353535636,2.8430881854496213,0.6985975193103381,0.2285714285714285,0.2261981921205864,0.2261981921205864,0.7428571428571427,0.7529602472984328,0.7428571428571427
